Year,Player,Rk,G,Date,Age,Tm,Opp,Difference,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
2022,DeMar DeRozan,32,32,12/23/2022,33-138,CHI,NYK,W (+1),1,36:58:00,9,21,0.429,1,3,0.333,6,7,0.857,0,7,7,10,2,1,0,5,25,23.3,2
2022,DeMar DeRozan,33,33,12/26/2022,33-141,CHI,HOU,L (-15),1,40:57:00,11,18,0.611,0,0,,9,10,0.9,1,4,5,9,1,0,2,3,31,28.4,-17
2022,DeMar DeRozan,34,34,12/28/2022,33-143,CHI,MIL,W (+6),1,44:25:00,15,25,0.6,0,0,,12,14,0.857,1,9,10,5,2,2,1,0,42,39,2
2022,DeMar DeRozan,35,35,12/30/2022,33-145,CHI,DET,W (+14),1,34:39:00,9,19,0.474,0,2,0,4,5,0.8,0,6,6,5,1,0,2,4,22,14.6,5
2022,DeMar DeRozan,36,36,12/31/2022,33-146,CHI,CLE,L (-1),1,38:08:00,7,17,0.412,0,1,0,7,7,1,1,3,4,3,3,1,4,5,21,13.3,1
2022,DeMar DeRozan,37,37,1/2/2023,33-148,CHI,CLE,L (-11),1,45:55:00,16,32,0.5,2,6,0.333,10,12,0.833,1,2,3,4,4,1,1,4,44,33.4,-9
2022,DeMar DeRozan,38,38,1/4/2023,33-150,CHI,BRK,W (+9),1,35:21:00,8,20,0.4,0,1,0,6,6,1,0,7,7,3,1,1,1,1,22,15.7,13
2022,DeMar DeRozan,39,39,1/6/2023,33-152,CHI,PHI,W (+14),1,37:09:00,4,13,0.308,0,2,0,4,5,0.8,0,5,5,6,1,1,2,0,12,9.5,9
2022,DeMar DeRozan,40,40,1/7/2023,33-153,CHI,UTA,W (+8),1,39:38:00,13,22,0.591,0,0,,9,10,0.9,0,2,2,7,0,0,2,2,35,27.1,16
2022,DeMar DeRozan,41,41,1/9/2023,33-155,CHI,BOS,L (-8),1,23:06,6,9,0.667,0,0,,1,1,1,0,3,3,3,1,0,2,1,13,10.7,-12
2022,DeMar DeRozan,42,,1/11/2023,33-157,CHI,WAS,L (-3),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
2022,DeMar DeRozan,43,,1/13/2023,33-159,CHI,OKC,L (-14),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
2022,DeMar DeRozan,44,,1/15/2023,33-161,CHI,GSW,W (+14),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
2022,DeMar DeRozan,45,42,1/19/2023,33-165,CHI,DET,W (+18),1,37:43:00,9,18,0.5,0,1,0,8,8,1,0,9,9,5,2,1,5,1,26,20.5,15
2022,DeMar DeRozan,46,43,1/23/2023,33-169,CHI,ATL,W (+11),1,37:19:00,11,21,0.524,1,2,0.5,3,4,0.75,0,1,1,6,3,0,1,2,26,21,20
2022,DeMar DeRozan,47,44,1/24/2023,33-170,CHI,IND,L (-6),1,39:36:00,14,21,0.667,0,0,,5,5,1,1,4,5,3,0,1,1,5,33,25.6,-9
2022,DeMar DeRozan,48,45,1/26/2023,33-172,CHI,CHO,L (-15),1,35:17:00,9,21,0.429,0,1,0,10,11,0.909,1,2,3,5,1,0,2,4,28,18.7,-5
2022,DeMar DeRozan,49,46,1/28/2023,33-174,CHI,ORL,W (+19),1,38:18:00,11,14,0.786,5,5,1,5,6,0.833,0,2,2,8,0,1,3,4,32,28.5,17
2022,DeMar DeRozan,50,47,1/31/2023,33-177,CHI,LAC,L (-5),1,35:51:00,8,19,0.421,0,2,0,4,6,0.667,0,2,2,5,1,1,8,3,20,5.7,2
2022,DeMar DeRozan,51,48,2/2/2023,33-179,CHI,CHO,W (+16),1,38:13:00,4,12,0.333,2,5,0.4,5,6,0.833,0,4,4,7,1,2,4,3,15,11.1,7
2022,DeMar DeRozan,52,49,2/4/2023,33-181,CHI,POR,W (+8),1,39:51:00,10,16,0.625,1,1,1,6,6,1,0,7,7,7,1,1,3,2,27,24.7,-4
2022,DeMar DeRozan,53,50,2/6/2023,33-183,CHI,SAS,W (+24),1,33:45:00,8,17,0.471,0,1,0,3,3,1,0,1,1,5,1,0,2,1,19,12.7,32
2022,DeMar DeRozan,54,,2/7/2023,33-184,CHI,MEM,L (-15),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
2022,DeMar DeRozan,55,51,2/9/2023,33-186,CHI,BRK,L (-11),1,35:59:00,5,13,0.385,0,1,0,4,7,0.571,1,2,3,6,0,1,3,2,14,8.1,-23
2022,DeMar DeRozan,56,52,2/11/2023,33-188,CHI,CLE,L (-8),1,39:55:00,6,10,0.6,2,5,0.4,2,3,0.667,0,1,1,6,0,0,4,3,16,10.3,-6
2022,DeMar DeRozan,57,53,2/13/2023,33-190,CHI,ORL,L (-9),1,35:42:00,8,20,0.4,0,2,0,3,3,1,0,3,3,6,0,1,3,5,19,9,-10
